127.0.0.1 - - [15/Feb/2024:15:44:17 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:44:20 +0530] "GET /Ebook-App/ HTTP/1.1" 200 7525
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:44:24 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:44:31 +0530] "GET /Ebook-App/registration.jsp HTTP/1.1" 200 6657
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:44:35 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:44:41 +0530] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:44:41 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 6023
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:44:42 +0530] "GET /Ebook-App/registration.jsp HTTP/1.1" 200 6657
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:44:56 +0530] "POST /Ebook-App/register HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:44:56 +0530] "GET /Ebook-App/registration.jsp HTTP/1.1" 200 6747
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:44:59 +0530] "GET /Ebook-App/login.jsp HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:45:05 +0530] "POST /Ebook-App/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:45:05 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 7730
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:45:13 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 4995
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:45:16 +0530] "GET /Ebook-App/all_new_book.jsp HTTP/1.1" 200 5611
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:45:16 +0530] "GET /Ebook-App/all_old_book.jsp HTTP/1.1" 200 4988
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:45:18 +0530] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:45:20 +0530] "GET /Ebook-App/Edit_profile.jsp HTTP/1.1" 200 6456
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:45:23 +0530] "GET /Ebook-App/Edit_profile.jsp HTTP/1.1" 200 6456
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:45:27 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 4995
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:45:28 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 7730
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:48:58 +0530] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:48:59 +0530] "GET /Ebook-App/sell_book.jsp HTTP/1.1" 200 6390
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:49:36 +0530] "POST /Ebook-App/add_old_Books HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:49:36 +0530] "GET /Ebook-App/sell_book.jsp HTTP/1.1" 200 6482
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:49:39 +0530] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:49:40 +0530] "GET /Ebook-App/old_book.jsp HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:49:44 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:49:45 +0530] "GET /Ebook-App/book/Screenshot%20(1).png HTTP/1.1" 200 405371
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:49:51 +0530] "GET /Ebook-App/view_books.jsp?bid=1 HTTP/1.1" 200 6423
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:49:51 +0530] "GET /Ebook-App/book/Screenshot%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:49:57 +0530] "GET /Ebook-App/index.jsp HTTP/1.1" 200 9177
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:49:57 +0530] "GET /Ebook-App/book/Screenshot%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:50:00 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:50:03 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:50:03 +0530] "GET /Ebook-App/book/Screenshot%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:50:05 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 5710
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:50:05 +0530] "GET /Ebook-App/book/Screenshot%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:50:08 +0530] "GET /Ebook-App/checkout.jsp HTTP/1.1" 200 8346
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:50:14 +0530] "GET /Ebook-App/setting.jsp HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:50:14 +0530] "GET /Ebook-App/old_book.jsp HTTP/1.1" 200 5429
0:0:0:0:0:0:0:1 - - [15/Feb/2024:15:52:58 +0530] "GET /Ebook-App/all_recent_book.jsp HTTP/1.1" 200 6592
